Be OK,4:13
Ever Green,3:43
Key,3:40
Bye My Tears,3:12
Knockin' on Your Heart,3:52
Big Dad,3:26
Before Dawn,3:29
Forward,4:49
Love Passion Matador,3:18
Summer Drive,4:24
Thrill,4:04
Freezer,3:15
Real Existence,4:11
Price of Pride,3:27
Arcadia Girl,4:04
Don't Apply the Brake,3:19
Beauty and the Beast,3:03
Don't Let Me Down,3:19
Shake That!,4:05
The Non-Fiction Days,4:44
Look at Me,4:00
Order,3:24
Brand-New Road,3:55
Yuragu,4:05
Freedom,3:46
Before Yesterday,3:47
Alone,3:28
Don't You Tell Me,3:10
Puzzle,4:19
Moratorium,4:15
YOLO,4:25
Cross,3:45
OOPArts,4:06
Take Me Higher!,3:18
So What?,4:48
Time,3:29
You.,3:43
Awkward,3:32
Decided by Myself,3:54
Secret My Lips,4:11
I Can't Live Without You,3:49
Play,3:19
One and Only,3:22
Domination,3:51
Fate,4:31
Spirit,3:41
Rock in Me,3:21
Clang,4:10
Turn Me On,4:15
Carry On Living,3:32
Daydreaming,3:57
Anemone,4:22
Alive-or-Dead,3:44
Dice,4:02
Page,4:17
Glory,3:39
Liberal,3:14
Endless Story,3:44
Mirage,3:57
At the Drop of a Hat,4:19
Wonderland,3:55
Azure,2:49
Dilemma,3:36
Bubble,3:46
The Dragon Cries,3:55
Flying High,3:42
Catharsis,3:18
Blooming,3:49
Rinne,3:27
Warning,4:20
No God,4:10
After Life,3:23
Manners,3:50
I Still Seek Revenge,3:02
H-G-K,3:07
Sayonakidori,4:33
Why Why Why,3:37
Chemical Reaction,4:09
Giovanni,4:17
Honkai,3:16
Black Hole,3:05
Unfair Game,3:30
Matchless Gum,3:11
YOLO (Instrumental),4:25
Choose Me,3:41
Play,3:19
Start Over,3:15
Screaming,3:47
Hide-and-Seek,3:01
Smile,3:57
Different,3:33
Don't Be Long,3:19
Sense,3:24
Hibana,3:40
Corallium,3:55
Onset,3:59
Without Holding Back,3:33
secret MAIKO lips,4:24
GIONCHO,3:54
Screaming (MAIKO),3:54
TORA and TORA,3:26
ansan,4:28
Domination (Instrumental),3:51
Dice (Instrumental),4:02
After Life (Instrumental),3:23
No God (Instrumental),4:10
Giovanni (Instrumental),4:17
Peace&Love,3:10
Flapping wings,4:08
